,title,subtitle,authors,publisher,publishdate,description,isbn_13,page_count,main_categories,categories,average_rating,ratings_count,maturity_rating
641,One Hundred Years of Solitude,,['Gabriel Garcia Marquez'],Harper Perennial,2004-01-01,"Tells the story of the Buendia family, set against the background of the evolution and eventual decadence of a small South American town",9780060740450,242,['Fiction'],['Fiction'],3.5,232,NOT_MATURE
642,Song of Solomon,,['Toni Morrison'],Prentice Hall,1987,This novel takes readers into a magical and richly peopled world which encompasses four generations of African American life. Copyright © Libri GmbH. All rights reserved.,9780452260115,356,['African American families'],['African American families'],4,52,NOT_MATURE
643,Ronald Reagan,How an Ordinary Man Became an Extraordinary Leader,"[""Dinesh D'Souza""]",Simon and Schuster,1999-02-23,"Explores Reagan's political career, from his role in the California tax revolt to the economic success the United States experienced during his term in office.",9780684848235,310,['Biography & Autobiography'],['Biography & Autobiography'],3,3,NOT_MATURE
644,Ethan Frome & Summer,,['Edith Wharton'],Modern Library,2001-05-08,"A pair of masterly short novels, featuring an introduction by Elizabeth Strout, the Pulitzer Prize–winning author of Anything Is Possible and My Name Is Lucy Barton Thought Edith Wharton is best known for her cutting contemplation of fashionable New York, Ethan Frome and Summer are set in small New England towns, far from Manhattan’s beau monde. Together in one volume, these thematically linked short novels display Wharton’s characteristic criticism of society’s hypocrisy, and her daring exploration of the destructive consequences of sexual appetite. From the wintry setting of Ethan Frome, where a man hounded by community standards is destroyed by the very thing that might bring him happiness, to the florid town of Summer, where a young woman’s first romance projects her into a dizzying rite of passage, Wharton captures beautifully the urges and failures of human nature. Praise for Edith Wharton and Ethan Frome “Ethan Frome [is considered] Mrs. Wharton’s masterpiece . . . The secret of its greatness is the stark human drama of it; the social crudity and human delicacy intermingled; the defiant, over-riding passion, and the long-drawn-out logic of the paid penalty. It has no contexts, no mitigations; it is plain, raw, first-hand human stuff.”—The New York Times “Ethan Frome [has] become part of the American mythology. . . . Wharton’s astonishing authority here is to render such pain with purity and economy . . . Truly it is a northern romance, akin even to Wuthering Heights.”—Harold Bloom “Traditionally, Henry James has always been placed slightly higher up the slope of Parnassus than Edith Wharton. But now that the prejudice against the female writer is on the wane, they look to be exactly what they are: giants, equals, the tutelary and benign gods of our American literature.”—Gore Vidal",9780375757280,305,['Fiction'],['Fiction'],3.5,5,NOT_MATURE
645,The Pearl,(Centennial Edition),['John Steinbeck'],Penguin,2002-01-08,"“There it lay, the great pearl, perfect as the moon.” One of Steinbeck’s most taught works, The Pearl is the story of the Mexican diver Kino, whose discovery of a magnificent pearl from the Gulf beds means the promise of a better life for his impoverished family. His dream blinds him to the greed and suspicions the pearl arouses in him and his neighbors, and even his loving wife Juana cannot temper his obsession or stem the events leading to tragedy. This classic novella from Nobel Prize-winner John Steinbeck examines the fallacy of the American dream, and illustrates the fall from innocence experienced by people who believe that wealth erases all problems. This Centennial edition, specially designed to commemorate one hundred years of Steinbeck, features french flaps and deckle-edged pages. For more than sixty-five years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,500 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",9780142000694,0,['Fiction'],['Fiction'],3.5,3,NOT_MATURE
646,The Last Christmas of Ebenezer Scrooge,,['Marvin Kaye'],Wildside Press LLC,2004-01-01,A sequel to Charles Dickens' A Christmas Carol.,9781592241330,168,['Fiction'],['Fiction'],,,NOT_MATURE
647,A Christmas Story,The Book That Inspired the Hilarious Classic Film,['Jean Shepherd'],National Geographic Books,2003-10-28,"A beloved, bestselling classic of humorous and nostalgic Americana—the book that inspired the equally classic Yuletide film and the live musical on Fox. The holiday film A Christmas Story, first released in 1983, has become a bona fide Christmas perennial, gaining in stature and fame with each succeeding year. Its affectionate, wacky, and wryly realistic portrayal of an American family’s typical Christmas joys and travails in small-town Depression-era Indiana has entered our imagination and our hearts with a force equal to It’s a Wonderful Life and Miracle on 34th Street. This edition of A Christmas Story gathers together in one hilarious volume the gems of autobiographical humor that Jean Shepherd drew upon to create this enduring film. Here is young Ralphie Parker’s shocking discovery that his decoder ring is really a device to promote Ovaltine; his mother and father’s pitched battle over the fate of a lascivious leg lamp; the unleashed and unnerving savagery of Ralphie’s duel in the show with the odious bullies Scut Farkas and Grover Dill; and, most crucially, Ralphie’s unstoppable campaign to get Santa—or anyone else—to give him a Red Ryder carbine action 200-shot range model air rifle. Who cares that the whole adult world is telling him, “You’ll shoot your eye out, kid”? The pieces that comprise A Christmas Story, previously published in the larger collections In God We Trust, All Others Pay Cash and Wanda Hickey’s Night of Golden Memories, coalesce in a magical fashion to become an irresistible piece of Americana, quite the equal of the film in its ability to warm the heart and tickle the funny bone.",9780767916226,0,['Fiction'],['Fiction'],4,23,NOT_MATURE
648,A Christmas Carol,,['Charles Dickens'],National Geographic Books,2006-09-12,"The celebrated P.J. Lynch captures the spirit of Dickens's beloved tale in a richly illustrated unabridged edition. The story of Ebenezer Scrooge opens on a Christmas Eve as cold as Scrooge's own heart. That night, he receives three ghostly visitors: the terrifying spirits of Christmas Past, Present, and Yet to Come. Each takes him on a heart-stopping journey, yielding glimpses of Tiny Tim and Bob Cratchit, the horrifying spectres of Want and Ignorance, even Scrooge's painfully hopeful younger self. Will Scrooge's heart be opened? Can he reverse the miserable future he is forced to see? An unabridged edition gloriously illustrated by the award-winning P.J. Lynch, this story's message of love and goodwill, mercy and self-redemption resonates as keenly as ever.",9780763631208,0,['Juvenile Fiction'],['Juvenile Fiction'],4,27,NOT_MATURE
649,Annotated Christmas Carol,A Christmas Carol In Prose,['Charles Dickens'],W. W. Norton & Company,2004,"The celebrated annotator of ""The Wizard of Oz"" and ""The Adventures of Huckleberry Finn"" has now prepared a sumptuous new edition of the Dickens classic.",9780393051582,406,['Fiction'],['Fiction'],4,3,NOT_MATURE
650,Charles Dickens' A Christmas Carol,A Young Reader's Edition Of The Classic Holiday Tale,['Charles Dickens'],Running Press Kids,2000-10-11,"Remarkable, sumptuous artwork by top children's illustrator Christian Birmingham enhances this faithful abridgement of the Dickens classic.",9780762408481,0,['Juvenile Fiction'],['Juvenile Fiction'],,,NOT_MATURE
651,The Brethren,,['John Grisham'],Anchor,2005-12-27,"#1 NEW YORK TIMES BESTSELLER • They call themselves the Brethren: three disgraced former judges doing time in a Florida federal prison. One was sent up for tax evasion. Another, for skimming bingo profits. The third for a career-ending drunken joyride. Meeting daily in the prison law library, taking exercise walks in their boxer shorts, these judges-turned-felons can reminisce about old court cases, dispense a little jailhouse justice, and contemplate where their lives went wrong. Or they can use their time in prison to get very rich—very fast. And so they sit, sprawled in the prison library, furiously writing letters, fine-tuning a wickedly brilliant extortion scam—while events outside their prison walls begin to erupt. A bizarre presidential election is holding the nation in its grips, and a powerful government figure is pulling some very hidden strings. For the Brethren, the timing couldn’t be better. Because they’ve just found the perfect victim.",9780385339674,386,['Fiction'],['Fiction'],3.5,37,NOT_MATURE
652,Dragonfly in Amber,A Novel,['Diana Gabaldon'],National Geographic Books,2001-08-07,"NEW YORK TIMES BESTSELLER • The second book in Diana Gabaldon’s acclaimed Outlander saga, the basis for the Starz original series. “A triumph! A powerful tale layered in history and myth. I loved every page.”—Nora Roberts With her classic novel Outlander, Diana Gabaldon introduced two unforgettable characters—Claire Randall and Jamie Fraser—delighting readers with a story of adventure and love that spanned two centuries. Now Gabaldon returns to that extraordinary time and place in this vivid, powerful sequel to Outlander. For twenty years, Claire Randall has kept her secrets. But now she is returning with her grown daughter to the mysteries of Scotland’s mist-shrouded Highlands. Here Claire plans to reveal a truth as shocking as the events that gave it birth: the secret of an ancient circle of standing stones, the secret of a love that transcends centuries, and the truth of a man named Jamie Fraser—a Highland warrior whose gallantry once drew the young Claire from the security of her century to the dangers of his. Claire’s spellbinding journey continues through the intrigue-ridden French court and the menace of Jacobite plots, to the Highlands of Scotland, through war and death in a desperate fight to save both the child and the man she loves.",9780385335973,0,['Fiction'],['Fiction'],4,2957,NOT_MATURE
653,Dragon's Eye,,['James A. Hetley'],Ace Books,2006-10-31,"Evil is coming to Stonefort in the form of a drug lord and frighteningly powerful sorcerer who covets the Morgan family's secret: its alliance with the magical being known as the Dragon. To save his family, Gary Morgan will have to master the power of the Dragon, and he'll need the help of the Haskell witch to do it.",9780441013722,372,['Conflict of generations'],['Conflict of generations'],4,4,NOT_MATURE
654,Here I Stand,A Life of Martin Luther,['Roland H. Bainton'],Plume,1995,"The authoritative, unforgettable biography of Martin Luther, the great religious leader, who entered a monastery as a youth and who, as a man, shattered the structure of the medieval church. Luther spoke out against the corrupt religious practices that then existed. His demanded that the authority for doctrine and practice be Scriptures, rather than Popes or Councils, echoed around the world and ignited the Great Reformation. Accused of heresy and threatened with excommunication and death, Luther maintained his bold stand and refused to recant. In his crusade to eliminate religious abuses, he did more than any other man to establish the Protestant faith.",9780452011465,340,['Biography & Autobiography'],['Biography & Autobiography'],4.5,31,NOT_MATURE
655,'Salem's Lot,,['Stephen King'],,1975,"The town knew darkness ... and the awful, heavy silence of terrifying images grotesquely dancing in and out of the shadows ... and stark white faces, huge empty eyes and long gnarled hands that reached out with lustful insistence ... and the paralyzing fear of a diabolical corruption and a hideous peril more dreadful than death.",9780965772419,439,['City and town life'],['City and town life'],,,NOT_MATURE
656,Interpreter of Maladies,Stories,['Jhumpa Lahiri'],Houghton Mifflin Harcourt,1999,"In nine stories imbued with the sensual details of Indian culture, Lahiri charts the emotional journeys of characters seeking love beyond the barriers of nations and generations.",9780618101368,198,['Fiction'],['Fiction'],4,137,NOT_MATURE
657,1984,A Novel,['George Orwell'],Signet Classics,1981,"1984 has come and gone, but George Orwell's prophetic, nightmare vision in 1949 of the world we were becoming is timelier than ever. 1984 is still the great modern classic negative Utopia - a startling original and haunting novel that creates an imaginary world that is completely convincing from the first sentence to the last four words. No one can deny this novel's power, its hold on the imagination of whole generations, or the power of its admonitions - a power that seems to grow, not lessen, with the passage of time.",9780451516756,267,['England'],['England'],,,NOT_MATURE
658,Nineteen Eighty-four,,['George Orwell'],1st World Library - Literary Society,2005,"A chilling portrait of a totalitarian society under the ever-watchful gaze of Big Brother, where love, privacy, and individuality are banned.",9781421808321,396,['Dystopias'],['Dystopias'],4.5,11,NOT_MATURE
659,The Day the Leader Was Killed,,['Naguib Mahfouz'],Anchor,2000-06-06,"From the Nobel Prize laureate and author of the acclaimed Cairo Trilogy, a beguiling and artfully compact novel set in Sadat's Egypt. The time is 1981, Anwar al-Sadat is president, and Egypt is lurching into the modern world. Set against this backdrop, The Day the Leader Was Killed relates the tale of a middle-class Cairene family. Rich with irony and infused with political undertones, the story is narrated alternately by the pious and mischievous family patriarch Muhtashimi Zayed, his hapless grandson Elwan, and Elwan's headstrong and beautiful fiancee Randa. The novel reaches its climax with the assassination of Sadat on October 6, 1981, an event around which the fictional plot is skillfully woven. The Day the Leader Was Killed brings us the essence of Mahfouz's genius and is further proof that he has, in the words of the Nobel citation, ""formed an Arabic narrative art that applies to all mankind.""",9780385499224,114,['Fiction'],['Fiction'],3.5,2,NOT_MATURE
660,Anne Frank Remembered,The Story of the Woman who Helped to Hide the Frank Family,"['Miep Gies', 'Alison Leslie Gold']",Simon and Schuster,1987,An autobiography by the woman who helped hide the Frank family during World War II.,9780671662349,286,['Amsterdam (Netherlands)'],['Amsterdam (Netherlands)'],3,2,NOT_MATURE
661,"""Surely You're Joking, Mr. Feynman!""",Adventures of a Curious Character,"['Richard Phillips Feynman', 'Ralph Leighton']",W. W. Norton,1985,"In this phenomenal bestseller, Nobel Prize-winning physicist Richard P. Feynman recounts his adventures trading ideas on atomic physics with Einstein and Bohr and ideas on gambling with Nick the Greek, painting a naked female toreador, accompanying a ballet on his bongo drums--and much else of an eyebrow-raising and hilarious nature. Photos.",9780393316049,358,['Physicists'],['Physicists'],4,3669,NOT_MATURE
662,Perfectly Reasonable Deviations from the Beaten Track,The Letters of Richard P. Feynman,['Richard Phillips Feynman'],Basic Books (AZ),2005-04-05,"A collection of the correspondence of the maverick physicist, Nobel laureate, and author offers an insightful and intimate glimpse into the mind and life of a scientific luminary.",9780738206363,526,['Biography & Autobiography'],['Biography & Autobiography'],4,12,NOT_MATURE
663,IWoz,"Computer Geek to Cult Icon : how I Invented the Personal Computer, Co-founded Apple, and Had Fun Doing it","['Steve Wozniak', 'Gina Smith']",W. W. Norton & Company,2006,"""In 1975, young engineer Steve Wozniak had an idea: What if you combined computer circuitry with a regular typewriter keyboard and a video screen? The result was the first true personal computer, a widely affordable machine that anyone could figure out how to use."" ""Wozniak teamed up with another young friend, Steve Jobs, and Apple Computer was born. The Apple I and Apple II computers were the first to use a modern paradigm - a keyboard to enter text and data and a video screen to view it. Apple and Wozniak, the inventor of the Apple I and II, ignited the computer revolution and have been transforming our world ever since."" ""Now, thirty years later, in iWoz, the mischievous genius with a low profile tells his story for the first time. Wozniak looks back at more, though, than his brilliant inventions. With his own typical, inimitable humor and style, he relates his countless pranks, his early days with the Electronics Kids and the Homebrew Computer Club, his stint as a concert promoter with the US Festivals, his near-death experience in a flight crash, his philanthropic activities, the decade he spent teaching fifth graders, and what it is like to be the Woz, a humanist inventor who considers engineering an art but never puts it before people and their needs.""--BOOK JACKET.",9780393061437,344,['Computer engineers'],['Computer engineers'],3,29,NOT_MATURE
664,Cradle and All,,['James Patterson'],Vision,2001-02-01,"In Boston, a young woman finds herself pregnant--even though she is still a virgin. In Ireland, another young woman discovers she is in the same impossible condition. And in cities all around the world, medical authorities are overwhelmed by epidemics, droughts, famines, floods, and worse. It all feels like a sign that something awful is coming. Anne Fitzgerald, a former nun turned private investigator, is hired by the Archdiocese of Boston to investigate the immaculate conceptions. Even as she comes to care about and trust the young women, she realizes that both are in great danger. Terrifying forces of light and darkness are gathering. Stepping into uncharted territory where the unknown is just the beginning, Anne must discover the truth--to save the young women, to save herself, and to protect the future of all mankind.",9780446609401,384,['Fiction'],['Fiction'],3.5,18,NOT_MATURE
665,The Wind in the Willows,,['Kenneth Grahame'],Penguin,2005-07-26,"One of the most celebrated and beloved works of literature ever written for young readers Meek little Mole, wilful Ratty, Badger the perennial bachelor, and petulant, boastful Toad: over one hundred years since their first appearance in 1908, they've become emblematic archetypes of eccentricity, folly and friendship. And their misadventures - in gypsy caravans, stolen sports cars, and their beloved Wild Wood - continue to capture readers' imaginations and warm their hearts long after they grow up. Begun as a series of letters from Kenneth Grahame to his son, The Wind in the Willows is a timeless tale of animal cunning and human camaraderie. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",9780143039099,225,['Juvenile Fiction'],['Juvenile Fiction'],2.5,5,NOT_MATURE
666,The Double and The Gambler,,['Fyodor Dostoevsky'],Vintage,2007-01-16,"The award-winning translators Richard Pevear and Larissa Volokhonsky have given us the definitive version of Fyodor Dostoevsky’s strikingly original short novels, The Double and The Gambler.The Double is a surprisingly modern hallucinatory nightmare–foreshadowing Kafka and Sartre–in which a minor official named Goliadkin becomes aware of a mysterious doppelganger, a man who has his name and his face and who gradually and relentlessly begins to displace him with his friends and colleagues. The Gambler is a stunning psychological portrait of a young man's exhilarating and destructive addiction to gambling, a compulsion that Dostoevsky–who once gambled away his young wife's wedding ring–knew intimately from his own experience. In chronicling the disastrous love affairs and gambling adventures of Alexei Ivanovich, Dostoevsky explores the irresistible temptation to look into the abyss of ultimate risk that he believed was an essential part of the Russian national character.",9780375719011,354,['Fiction'],['Fiction'],,,NOT_MATURE
667,If I Die in a Combat Zone,,"[""Tim O'Brien""]",HarperCollins UK,2003,"Perhaps the best book to emerge from the Vietnam War - reissued alongside five other jewels of the Flamingo backlist from the 1970s. First published in1973, this intensely personal novel about one foot soldier's tour of duty in Vietnam established Tim O'Brien's reputation as the outstanding chronicler of the Vietnam experience for a generation of Americans. From basic training to the front line and back again, he takes the reader on an unforgettable journey - walking the minefields of My Lai, fighting the heat and the snipers in an alien land, crawling into the ghostly tunnels - as he explores the ambiguities of manhood and morality in a war no one believes in.",9780007162994,212,['Skønlitteratur-USA'],['Skønlitteratur-USA'],3.5,12,NOT_MATURE
668,If I Die in a Combat Zone,,"[""Tim O'Brien""]",HarperCollins UK,1995,For use in schools and libraries only. A candid view of the American military establishment and the Vietnam conflict as witnessed by a foot soldier in the late sixties.,9780586087992,212,"['Vietnam War, 1961-1975']","['Vietnam War, 1961-1975']",3.5,12,NOT_MATURE
669,"Child of War, Woman of Peace",,"['Le Ly Hayslip', 'James Hayslip']",Anchor,1994,"The inspiring story of an immigrant's struggling to heal old wounds as she makes a new life in the United States, this is the mesmerizing sequel to When Heaven and Earth Changed Places, Hayslip's award-winning memoir of life in wartime Vietnam--soon to be an Oliver Stone feature film.",9780385471473,396,['Biography & Autobiography'],['Biography & Autobiography'],,,NOT_MATURE
670,Coming of Age in Mississippi,The Classic Autobiography of a Young Black Girl in the Rural South,['Anne Moody'],Delta,2004-02-03,"The unforgettable memoir of a woman at the front lines of the civil rights movement—a harrowing account of black life in the rural South and a powerful affirmation of one person’s ability to affect change. “Anne Moody’s autobiography is an eloquent, moving testimonial to her courage.”—Chicago Tribune Born to a poor couple who were tenant farmers on a plantation in Mississippi, Anne Moody lived through some of the most dangerous days of the pre-civil rights era in the South. The week before she began high school came the news of Emmet Till’s lynching. Before then, she had “known the fear of hunger, hell, and the Devil. But now there was . . . the fear of being killed just because I was black.” In that moment was born the passion for freedom and justice that would change her life. A straight-A student who realized her dream of going to college when she won a basketball scholarship, she finally dared to join the NAACP in her junior year. Through the NAACP and later through CORE and SNCC, she experienced firsthand the demonstrations and sit-ins that were the mainstay of the civil rights movement—and the arrests and jailings, the shotguns, fire hoses, police dogs, billy clubs, and deadly force that were used to destroy it. A deeply personal story but also a portrait of a turning point in our nation’s destiny, this autobiography lets us see history in the making, through the eyes of one of the footsoldiers in the civil rights movement. Praise for Coming of Age in Mississippi “A history of our time, seen from the bottom up, through the eyes of someone who decided for herself that things had to be changed . . . a timely reminder that we cannot now relax.”—Senator Edward Kennedy, The New York Times Book Review “Something is new here . . . rural southern black life begins to speak. It hits the page like a natural force, crude and undeniable and, against all principles of beauty, beautiful.”—The Nation “Engrossing, sensitive, beautiful . . . so candid, so honest, and so touching, as to make it virtually impossible to put down.”—San Francisco Sun-Reporter",9780385337816,434,['Biography & Autobiography'],['Biography & Autobiography'],4.5,16,NOT_MATURE
671,Choke Point,A Brinker Mystery,['James C. Mitchell'],Macmillan,2004-10-05,"On the streets of Tucson, Arizona, a riot breaks out after a basketball game and a man is shot dead in the street. He carries no identification, and the usual police checks---fingerprints and an artist's sketch---provide nothing. Was this a case of police brutality, or did someone use the riot to conceal a murder? April Lennox, a young reporter from L.A., has a theory, and she turns to private detective Roscoe Brinker for help. April received a call from Mexico a few days earlier---a call from a man promising a story of oppression and murder. They arranged to meet the night of the riot. He didn't show, and April now suspects that her informant and the murder victim are one and the same. She needs Brinker's connections in Tucson and across the border, but after being shot and nearly killed in Mexico, he's less than eager to go back. New information and a little bit of charm finally wear him down, and Brinker decides to take on her case. Before he can join her, April uncovers a personal connection to the murder. She heads south and doesn't come back. On the trail of the clues she's left behind, Brinker returns to Mexico only to find something darker and more dangerous than he'd ever imagined.",9780312315320,278,['Fiction'],['Fiction'],,,NOT_MATURE
672,The Aleph and Other Stories,,['Jorge Luis Borges'],Penguin Classics,2004-07-27,"Twenty fictional pieces survey the depth and range of the distinguished Argentine writer's forty-year career as he journeys inside the minds of an unrepentant Nazi, an imprisoned Maya priest, fanatical Christian theologians, a man awaiting his assassin, and a woman plotting vengeance on her father's ""killer."" Reprint.",9780142437889,232,['Fiction'],['Fiction'],3.5,5,NOT_MATURE
673,Vanity Fair,,['William Makepeace Thackeray'],Penguin Mass Market,1994,"Vanity Fair, Thackeray's panoramic, satirical saga of corruption at all levels of English society, was published in 1847 but set during the Napoleonic Wars. It chronicles the lives of two women who could not be more different: Becky Sharp, an orphan whose only resources are her vast ambitions, her native wit, and her loose morals; and her schoolmate Amelia Sedley, a typically naive Victorian heroine, the pampered daughter of a wealthy family. Becky's fluctuating fortunes eventually bring her to an affair with Amelia's dissolute husband; when he is killed at Waterloo, Amelia and her child are left penniless, while Becky and her husband Rawdon Crawley rise in the world, managing to lead a high life in London solely on the basis of their shrewdness. (The chapter entitled ""How to Live on Nothing"" is a classic.) Thackeray's subtitle, ""A Novel Without a Hero,"" is understating the case; his view of humanity in this novel is distinctly bleak and deliberately antiheroic. Critics of the time misunderstood the book, decrying it as (among other things) vicious, vile, and odious. But VANITY FAIR has endured as one of the great comic novels of all time, and a landmark in the history of realism in fiction.",9780140620856,672,['British'],['British'],3.5,84,NOT_MATURE
674,V for Vendetta,,"['Alan Moore', 'David Lloyd', 'Steve Whitaker', 'Siobhan Dodds']",Vertigo,2005,"In an alternate future in which Germany wins World War II and Britain becomesa fascist state, a vigilante named ""V"" stalks the streets of London trying tofree England of its ideological chains.",9781401207922,288,['Comics & Graphic Novels'],['Comics & Graphic Novels'],4,3259,NOT_MATURE
675,V.,roman,['Thomas Pynchon'],Seuil,2001-01,"V. est une lettre mystérieuse qui apparaît ici et là dans le journal intime laissé par Stanley Stencil, disparu en 1919. En 1945, son fils Herbert va chercher ce qui se cache derrière cette initiale. Très vite, V. va se révéler être une énigme aux nombreuses significations, une figure féminine aux multiples visages - Victoria, une anglaise violée au Caire ; Véra, une danseuse allemande pré-nazie dans le Sud-Ouest africain ; Véronique, un rat femelle des égouts de New York ; ou encore une lesbienne du boulevard de Clichy - mais aussi un pays appelé Vheissu, qui inquiète beaucoup les services secrets... Premier roman de Thomas Pynchon, récit extravagant, débridé, à l'imagination débordante, V a connu un succès immédiat dès sa parution au début des années 60 et a placé son auteur parmi les très grands de la littérature américaine contemporaine.",9782020418775,632,['Fiction'],['Fiction'],1,1,NOT_MATURE
676,Girl in the Shadows,,['Virginia C. Andrews'],,2006,SHE WASN'T A LITTLE GIRL ANYMORE -- BUT WHO WAS SHE REALLY?,9781416500520,0,['Fiction'],['Fiction'],1,1,NOT_MATURE
677,V for Vendetta,A Novelization,"['Steve Moore', 'Andy Wachowski', 'Alan Moore', 'Larry Wachowski', 'David Lloyd']",Pocket Star,2006,"In a not-too-distant future, Britain is ruled by a totalitarian regime and Evey, a young woman, is rescued from certain death by a masked vigilante, who launches a one-man crusade against government tyranny and oppression.",9781416516996,358,['Fiction'],['Fiction'],2,2,NOT_MATURE
678,Heaven,,['V. C. Andrews'],,1997-04,"Follows the experiences of Heaven, one of the very poor Casteel children who are sold to different families by their father. Copyright © Libri GmbH. All rights reserved.",9780671010058,464,['Dysfunctional families'],['Dysfunctional families'],,,NOT_MATURE
679,A Gravity's Rainbow Companion,Sources and Contexts for Pynchon's Novel,['Steven Weisenburger'],University of Georgia Press,2006,"Serves as a guide to Thomas Pynchon's ""Gravity's Rainbow"". This title takes the reader page by page, often line by line, through the welter of historical references, scientific data, cultural fragments, anthropological research, jokes, and puns around which Pynchon wove his story.",9780820328072,433,['Literary Criticism'],['Literary Criticism'],,,NOT_MATURE
680,Bel Canto,,['Ann Patchett'],Harper Perennial,2005-08-02,"Somewhere in South America, at the home of the country's vice president, a lavish birthday party is being held in honor of the powerful businessman Mr. Hosokawa. Roxanne Coss, opera's most revered soprano, has mesmerized the international guests with her singing. It is a perfect evening -- until a band of gunwielding terrorists takes the entire party hostage. But what begins as a panicked, life-threatening scenario slowly evolves into something quite different, a moment of great beauty, as terrorists and hostages forge unexpected bonds and people from different continents become compatriots, intimate friends, and lovers.",9780060838720,352,['Fiction'],['Fiction'],4,237,NOT_MATURE
681,A Bend in the River,,['V. S. Naipaul'],Pan Macmillan,2002,"Set in an unnamed African country, the book is narrated by Salim, a young man from an Indian family of traders long resident on the coast. He believes ""The world is what it is; men who are nothing, who allow themselves to become nothing, have no place in it."" So he has taken the initiative; left the coast; acquired his own shop in a small, growing city in the continent’s remote interior and is selling sundries – little more than this and that, really – to the natives. This spot, this ‘bend in the river’, is a microcosm of post-colonial Africa at the time of Independence: a scene of chaos, violent change, warring tribes, ignorance, isolation and poverty. And from this rich landscape emerges one of the author’s most potent works – a truly moving story of historical upheaval and social breakdown.",9780330487146,340,['Fiction'],['Fiction'],4,22,NOT_MATURE
682,The Middle Passage,The Caribbean Revisited,['V. S. Naipaul'],Vintage,2002-01-08,"A look at Trinidad, British Guiana, Surinam, Martinique, and Jamaica focuses on the influence of European colonization on the language, politics, values, and culture of the Caribbean. Reprint. 12,500 first printing.",9780375708343,268,['History'],['History'],,,NOT_MATURE
683,Regeneration Through Violence,"The Mythology of the American Frontier, 1600-1860",['Richard Slotkin'],University of Oklahoma Press,2000,"Originally published: Middletown, Conn.: Wesleyan University Press, 1973.",9780806132297,684,['Literary Criticism'],['Literary Criticism'],4.5,2,NOT_MATURE
684,Regeneration,,['Julie Czerneda'],Daw Books,2006,"""Senior co-administrator of the Norcoast Salmon Research Facility, Dr. Mackenzie Connor - Mac to her friends and colleagues - was a biologist who had wanted nothing more out of life than to study the spawning habits of salmon. But that was before she met Brymn, the first member of the Dhryn race ever to set foot on Earth. And it was before Base was attacked, and Mac's friend and fellow scientist Dr. Emily Mamani was kidnapped by the mysterious race known as the Ro."" ""From that moment on everything changed for Mac, for Emily, for Brymn, for the human race, and for all the many member races of the Interspecies Union."" ""Now, with the alien Dhryn following an instinct-driven migratory path through the inhabited spaceways - bringing about the annihilation of sentient races who have the misfortune to lie along the star trail they are following - time is running out not only for the human race but for all life forms."" ""And only Mac and her disparate band of researchers - drawn from many of the races that are members of the Interspecies Union - stand any chance of solving the deadly puzzle of the Dhryn and the equally enigmatic Ro.""--BOOK JACKET.",9780756403454,568,['Fiction'],['Fiction'],4,2,NOT_MATURE
685,Pirates of the Caribbean: The Siren Song - Jack Sparrow Book #2,Junior Novel,['Rob Kidd'],Disney Press,2006-06-01,"Captain Jack Sparrow and his crew have suddenly fallen under a sinister spell. While continuing on their quest for the Sword of Corts, they find themselves entranced by an ethereal song which leads them away from their quarry.",9781423100195,0,['Juvenile Fiction'],['Juvenile Fiction'],,,NOT_MATURE
686,The Woman in White,,['Wilkie Collins'],Dover Publications,2005-04-15,"Mistaken identities, locked rooms, madness, and romance—these are a few of the ingredients the author (one of the most successful and popular Victorian writers) used to inspire ""the 'creepy' effect, as of pounded ice dropped down the back,"" that, according to one of his friends, was Wilkie Collins's aim in writing The Woman in White. Popularly regarded as one of the author's finest works, and widely copied by other writers, this thriller was the prototype for a whole new genre of fiction: the ""sensation novel."" A scheming nobleman, a beautiful heiress, and, of course, the enigmatic woman in white—a mysterious figure confined to an asylum for the insane—are the featured players in an intricate, compelling story that was acclaimed by Henry James and T. S. Eliot. An instant success when it first appeared in 1860, the riveting tale has continued to enthrall readers ever since.",9780486440965,0,['Fiction'],['Fiction'],4,115,NOT_MATURE
687,The Annotated Hobbit,,['John Ronald Reuel Tolkien'],HarperCollins Publishers,2003,Fantasy-roman.,9780007137275,0,['Fantasy fiction'],['Fantasy fiction'],4,14,NOT_MATURE
688,Poems from the Hobbit,,['J. R. R. Tolkien'],Houghton Mifflin Harcourt,1999-12-13,"A perfect literary complement to Tolkien's enchanting universe features the poems and riddles contained in the Hobbit, enlivened by the author's own drawings.",9780618009343,56,['Fiction'],['Fiction'],,,NOT_MATURE
