,title,subtitle,authors,publisher,publishdate,description,isbn_13,page_count,main_categories,categories,average_rating,ratings_count,maturity_rating
1595,The Secret City,,['Chris Archer'],Scholastic Paperbacks,2003,"Spies. Underground tunnels. Old maps. New enemies. Pirate oaths. Hidden treasure. Endless danger. This series has real boy appeal. It has a fast pace, adventure, international intrigue, and more. George is fascinated by his family's legacy, the stories that link his ancestors to the infamous pirate Captain Kidd. But for 12 years, everyone has told him the stories are rumors. Now George has discovered the truth. And the truth is hidden in the web of tunnels mysteriously dug underneath his house in Manhattan. There are secrets to be revealed, friendships to be tested, and ancient injustices to be set right. George and his friends will sink deep underground to a secret city in search of treasure, but they'll find they aren't the only ones looking for it - and there's much more at stake.",9780439368513,184,['Juvenile Fiction'],['Juvenile Fiction'],,,NOT_MATURE
1596,The Embarrassment of Riches,An Interpretation of Dutch Culture in the Golden Age,['Simon Schama'],Vintage,1997-12-08,"Schama explores the mysterious contradictions of the Dutch nation that invented itself from the ground up, attained an unprecedented level of affluence, and lived in constant dread of being corrupted by happiness. Drawing on a vast array of period documents and sumptuously reproduced art, Schama re-creates in precise detail a nation's mental state. He tells of bloody uprisings and beached whales, of the cult of hygiene and the plague of tobacco, of thrifty housewives and profligate tulip-speculators. He tells us how the Dutch celebrated themselves and how they were slandered by their enemies. ""History on the grand scale...An ambitious portrait of one of the most remarkable episodes in modern history.""--New York Times ""Wonderfully inclusive; with wit and intense curiosity he teases out meaning from every aspect of Dutch seventeenth-century life.""--Robert Hughes",9780679781240,720,['History'],['History'],4,7,NOT_MATURE
1597,The Feelings Book,The Care & Keeping of Your Emotions,['Lynda Madison'],American Girl Publishing Incorporated,2002,Discusses a variety of emotions girls might experience and suggests ways of dealing with them.,9781584855286,0,['Emotions'],['Emotions'],5,3,NOT_MATURE
1598,The Capricorn Stone,,['Madeleine Brent'],Fawcett Books,1983-05-12,"Twenty-year-old Bridie Chance learns that her father, who is now dead, had been a criminal and must suddenly cope with the responsibility of caring for her family",9780449201497,346,['Fiction'],['Fiction'],5,2,NOT_MATURE
1599,"The ethics of ambiguity, tr",,['Simone de Beauvoir'],Citadel Press,1962,"Simone de Beauvoir, novelist, dramatist, and philosopher, was the most distinguished woman writer in modern France. A leading exponent of French existentialism, her work complements, though it is independent of, that of Jean-Paul Sartre. In ""The Ethics of Ambiguity,"" Madame de Beauvoir penetrates at once to the central ethical problems of modern man: what shall he do, how shall he go about making values, in the face of this awareness of the absurdity of his existence? She forces the reader to face the absurdity of the human condition and then, having done so, proceeds to develop a dialectic of ambiguity which will enable him not to master the chaos, but to create with it.",9780806501604,164,['Literary Collections'],['Literary Collections'],,,NOT_MATURE
1600,She Came to Stay,,['Simone de Beauvoir'],HarperCollins Publishers,1984,"Set in Paris on the eve of World War II, and sizzling with love, anger and revenge, ""She Came to Stay"" explores the changes wrought in the soul of a woman and a city soon to fall.",9780006540809,428,['Husbands and wives'],['Husbands and wives'],3.5,4,NOT_MATURE
1601,What Life was Like when Rome Ruled the World,"The Roman Empire, 100 BC - AD 200",['Time-Life Books'],Time Life Medical,1997,"Examines the civilization and history of Rome through text and photos of artifacts, discussing the social life and customs, leisure, work, rulers, and religion of the Romans.",9780783554525,178,['1-99'],['1-99'],,,NOT_MATURE
1602,Practice Makes Perfect: Italian Verb Tenses,,['Paola Nanni-Tate'],McGraw-Hill,2005-11-23,"Conjugate verbs like a Italian Most verb books offer little more than conjugation charts and a few mechanical exercises. Practice Makes Perfect: Italian Verb Tenses gives you much more. In addition to thorough demonstrations of conjugations for regular and irregular verbs, it features plenty of useful examples and numerous engaging exercises that help you remember verb tenses. And, equally important, it explains when and why to use them. Two handy appendices (one listing conjugations and another matching verbs with their prepositions) make it easy for you to find the right words in Italian quickly.",9780071451383,256,['Foreign Language Study'],['Foreign Language Study'],5,1,NOT_MATURE
1603,The Dead Yard,,['Adrian McKinty'],Simon and Schuster,2006-12,"In this breathtaking sequel to ""Dead I Well May Be,"" the mercenary Michael Forsythe is forced to infiltrate an Irish terrorist cell on behalf of the FBI, confronting murder, mayhem, and the prospect of his own death.",9780743499484,401,['Fiction'],['Fiction'],4,5,NOT_MATURE
1604,Ultimate Spider-Man -,,,Marvel,2006-10-04,"This deluxe hardcover collects Ultimate Spider-Man Vol. 13: Hobgoblin and Ultimate Spider-Man Vol. 14: Warriors, plus extras. In Hobgoblin, it's the terrifying debut of the Ultimate Hobgoblin as Harry Osborn returns to Midtown High harboring a dark secret that will affect the lives of all those around him - especially his best friend, Peter Parker. And where does Harry's father - Norman Osborn, a.k.a. the Green Goblin - fit into all this? And in Warriors, the Gang War to end all Gang Wars begins! The Kingpin is in retreat, and that kind of a power vacuum won't last long. It's about to be filled by a figure of unabashed dread in the underworld: Hammerhead! Plus: the Ultimate debuts of several Marvel characters, including Moon Knight! And Spidey thinks he's had trouble before... but nothing has ever made him declare, ""Peter Parker no more!"" Collects Ultimate Spider-Man #72-85.",9780785121480,344,['Comics & Graphic Novels'],['Comics & Graphic Novels'],3.5,3,NOT_MATURE
1605,Fables,1001 Nights of Snowfall,['Bill Willingham'],Vertigo,2006,Presents the backstories of storybook and nursery rhyme characters who live side-by-side with humans.,9781401203672,150,"['Fantasy comic books, strips, etc']","['Fantasy comic books, strips, etc']",4,23,NOT_MATURE
1606,3 Complete Novels,,['Dean Ray Koontz'],Putnam Adult,2000,"Includes three novels by the horror writer that explore themes of death, memory, and psychic phenomena.",9780399146268,0,"['Horror tales, American']","['Horror tales, American']",,,NOT_MATURE
1607,Fables,Wolves,['Bill Willingham'],,2002,,9781401210014,0,['Fairy tales'],['Fairy tales'],4,32,NOT_MATURE
1608,The Mean Seasons,,['Bill Willingham'],Vertigo,2002,Follows the adventures of storybook and nursery rhyme characters who live side-by-side with humans.,9781401204860,168,"['Comic books, strips, etc']","['Comic books, strips, etc']",3.5,20,NOT_MATURE
1609,The Choice,A Fable of Free Trade and Protectionism,['Russell D. Roberts'],Pearson,2007,"""A novel on the global economy? Russell Roberts breaks all the rules in this provocative and whimsical look at the key international economic issues facing America and American business. The Choice stars the ghost of David Ricardo, a nineteenth-century economist. To get his wings he must persuade the CEO of an American television manufacturing company that imports are good for America, even if they destroy the domestic television industry. Free of economic jargon, The Choice gives the reader a new perspective on how international trade affects business and our daily lives.""--BOOK JACKET.",9780131433540,148,['Free trade'],['Free trade'],4,1,NOT_MATURE
1610,The Five Dysfunctions of a Team,"A Leadership Fable, 20th Anniversary Edition",['Patrick M. Lencioni'],John Wiley & Sons,2002-04-11,"The New York Times best-selling team leadership handbook for modern executives, managers, and organizations After her first two weeks observing the problems at DecisionTech, Kathryn Petersen, its new CEO, had more than a few moments when she wondered if she should have taken the job. But Kathryn knew there was little chance she would have turned it down. After all, retirement had made her antsy, and nothing excited her more than a challenge. What she could not have known when she accepted the job, however, was just how dysfunctional her team was, and how team members would challenge her in ways that no one ever had before. For twenty years, The Five Dysfunctions of a Team has been engaging audiences with a page-turning, realistic fable that follows the travails of Kathryn Petersen, DecisionTech’s CEO, as she faces the ultimate leadership crisis. She must unite a team in such disarray that it threatens to derail the entire company. Equal parts leadership fable and business handbook, this definitive source on teamwork by Patrick Lencioni reveals the five behavioral tendencies that go to the heart of why even the best teams struggle. He offers a powerful model and step-by-step guide for overcoming those dysfunctions and getting every one rowing in the same direction. Today, the lessons in The Five Dysfunctions of a Team are more relevant than ever. This special anniversary edition celebrates one of the best-selling business books of all time with a new foreword from the author that reflects on its legacy and lessons.",9780787960759,269,['Business & Economics'],['Business & Economics'],4.5,14,NOT_MATURE
1611,Hollywood Station,A Novel,['Joseph Wambaugh'],Little Brown,2006,"They call their sergeant the Oracle. Hes a seasoned LAPD veteran who keeps a close watch over his squad from his understaffed office at Hollywood Station. They are: Budgie Polk, a 27-year-old firecracker whos begrudgingly teamed with Fausto Gamboa, the oldest, tetchiest patrol officer. Andi McCrea, a single mom who spends her days studying at the local community college. Wesley Drubb, a USC drop-out who joined the force to see some action. Flotsam and Jetsam, two aptly named surfer boys who pine after the petitebut intrepidMeg Takara. And Hank Driscoll, the one who never shuts up. Together they spend their days and nights in the citys underbelly, where a string of seemingly unrelated events lures the cops of Hollywood Station to their most startling case yet: Russians, diamonds, counterfeiting, grenadesa reminder that nothings too horrific or twisted for Los Angeles. Here, its business as usual. For the first time in 20 years, Wambaugh revisits the kind of story he tells bestlife in the LAPD. Not only have his fans been waiting for this comeback, but readers of the new generation of police writing will have great interest in this book.",9780316066143,354,['American fiction'],['American fiction'],3.5,16,NOT_MATURE
