isbn,Main Category,Categories,Description
1883011078,,Detective and mystery stories,"Stories and Early Novels includes every story that Chandler did not later incorporate into a novel - thirteen in all. Drawn from the pages of Black Mask and Dime Detective, these stories show how Chandler adapted the violent conventions of the pulp magazines - with their brisk exposition and rapid-fire dialogue - to his own emerging vision of 20th-century America. Raymond Chandler: Stories and Early Novels contains a newly researched chronology of Chandler's life, explanatory notes, and an essay on the texts."
375415025,,,
394758269,,,
394757653,,,
394758285,,,
394757688,,,
812970403,,,
452286875,,,
1421501562,,,
056352474X,,,
067003472X,,,
068482471X,,,
142003840,,,
262540371,,,
465073514,,,
387987207,,,
262540428,,,
553345842,,,
553103741,,,
553804367,,,
055380202X,,Science,"Stephen Hawking’s phenomenal, multimillion-copy bestseller, A Brief History of Time, introduced the ideas of this brilliant theoretical physicist to readers all over the world. Now, in a major publishing event, Hawking returns with a lavishly illustrated sequel that unravels the mysteries of the major breakthroughs that have occurred in the years since the release of his acclaimed first book. The Universe in a Nutshell • Quantum mechanics • M-theory • General relativity • 11-dimensional supergravity • 10-dimensional membranes • Superstrings • P-branes • Black holes One of the most influential thinkers of our time, Stephen Hawking is an intellectual icon, known not only for the adventurousness of his ideas but for the clarity and wit with which he expresses them. In this new book Hawking takes us to the cutting edge of theoretical physics, where truth is often stranger than fiction, to explain in laymen’s terms the principles that control our universe. Like many in the community of theoretical physicists, Professor Hawking is seeking to uncover the grail of science — the elusive Theory of Everything that lies at the heart of the cosmos. In his accessible and often playful style, he guides us on his search to uncover the secrets of the universe — from supergravity to supersymmetry, from quantum theory to M-theory, from holography to duality. He takes us to the wild frontiers of science, where superstring theory and p-branes may hold the final clue to the puzzle. And he lets us behind the scenes of one of his most exciting intellectual adventures as he seeks “to combine Einstein’s General Theory of Relativity and Richard Feynman’s idea of multiple histories into one complete unified theory that will describe everything that happens in the universe.” With characteristic exuberance, Professor Hawking invites us to be fellow travelers on this extraordinary voyage through space-time. Copious four-color illustrations help clarify this journey into a surreal wonderland where particles, sheets, and strings move in eleven dimensions; where black holes evaporate and disappear, taking their secret with them; and where the original cosmic seed from which our own universe sprang was a tiny nut. The Universe in a Nutshell is essential reading for all of us who want to understand the universe in which we live. Like its companion volume, A Brief History of Time, it conveys the excitement felt within the scientific community as the secrets of the cosmos reveal themselves."
762419229,,,
465081983,,,
039332446X,,,
380707632,,,
691050848,,,
60977108,,,
713484071,,,
316281336,,,
452282314,,,
452278872,,,
451191153,,,
446618764,,,
60793198,,,
1400051576,,Nature,"While everything appears to be collapsing around us – ecodamage, genetic engineering, virulent diseases, the end of cheap oil, water shortages, global famine, wars – we can still do something about it and create a world that will work for us and for our children’s children. The inspiration for Leonardo DiCaprio’s feature documentary movie The Eleventh Hour and soon to be released HBO special Ice on Fire, Last Hours of Ancient Sunlight details what is happening to our planet, the reasons for our culture’s blind behavior, and how we can fix the problem. Thom Hartmann’s comprehensive book is one of the fundamental handbooks of the environmental activist movement. Now with fresh, updated material on our Earth’s rapid climate change and a focus on political activism and its effect on corporate behavior, The Last Hours of Ancient Sunlight helps us understand – and heal – our relationship to the world, to each other, and to our natural resources."
312425023,,,
312424086,,,
316172324,,,
849945119,,,
743422074,,,
517147688,,,
452286530,,,
517118297,,,
192832972,,,
192802631,,,
097212179X,,,
743564367,,,
764586602,,,
679731369,,,
140435824,,,
192836226,,,
140448004,,,
140447970,,,
226735192,,,
312422156,,,
743270754,,,
743223136,,,
1574671324,,,
142437115,,,
393311333,,,
142437786,,,
076455302X,,,
471773867,,,
452281326,,,
684842238,,,
684839377,,,
72920963,,,
938497197,,,
671708635,,,
743250974,,,
671887173,,,
1932073205,,,
915811235,,,
425179613,,,
306814552,,,
671869205,,,
140009691X,,,
067960085X,,,
345478207,,,
449007383,,,
679745645,,,
073933364X,,,
684868768,,,
446671827,,,
813527406,,,
684842572,,,
940450313,,,
1883011949,,,
940450534,,,
486420493,,,
689304579,,,
440802504,,,
307236013,,,
1597770078,,,
618056998,,,
618083553,,,
395291305,,,
618574999,,,
618009361,,,
140272925,,,
670910619,,,
140271570,,,
198111843,,,
815319665,,,
671792768,,,
671447548,,,
684813637,,,
844662925,,,
743262131,,,
451188454,,,
761452427,,,
8466305130,,Forensic scientists,"A paralyzed New York detective is talked out of committing suicide to hunt for a cab driver who tortures and kills. The detective, Lincoln Rhyme, can only move his head so he is paired with police beauty Amelia Sachs. Together they go after the killer who tantalizes police with clues to his next murder."
9626343583,,,
763630187,,,
143058096,,,
1593080182,,,
415247713,,,
192781537,,,
919123708,,,
019274156X,,,
252063023,,,
700607420,,,
515139734,,,
515121495,,,
61020613,,,
812967054,,,
