id,title,isbn,page_count,publishing_date,form,publisher,language,author,illustrator,originally_published,genres,subject,awards,nominations,characters,description,sub_title
jL8OAAAACAAJ,Nerve,"9780515123463, 0515123463",313,1998,Paperback,Jove Books,English,Dick Francis,,1964,"Mystery, Fiction","Detective and mystery stories, English, England -- Fiction, Horse racing -- Fiction, Horse racing -- Fiction -- England",,,,"Rob Finn was a bit of a misfit: a struggling young jockey in a family of accomplished musicians, a man in love with a beautiful woman who wouldn't have him -- he suddenly looked like a rider who had lost his nerve. Could it be, though, that the horses were unusually sluggish, and that there was something more sinister attempting to sabotage him...?
""The best thriller writer going.""
ATLANTIC MONTHLY",
WNpfPwAACAAJ,Trial Run,"9780425199831, 0425199835",260,2004,Paperback,Berkley Pub.,English,Dick Francis,,1978,"Mystery, Thriller, Fiction","Horsemen and horsewomen -- Fiction, Moscow (Russia) -- Fiction, Olympic Games; 1980 -- Fiction, Fiction in English, Jockeys -- Fiction, Murder -- Fiction -- Investigation, Olympic games; 1980 :cMoscow, Russia) -- Fiction, Threats -- Fiction",,,,"Someone or something called Alyosha is linked to the mysterious death of a member of the German Riding Team and threatens the safety of England's royally-connected prime equestrian who is to compete in the Moscow Olympics. Randall Drew is sent by the British Royal Family to Russia to investigate. His brief is vague and the opposition invisible, but the reaction to his presence is murderously quick.",
Gt9jPwAACAAJ,Odds Against,"9780425198001, 0425198006",277,2005,Paperback,Berkley Books,English,Dick Francis,,1965,"Mystery, Fiction","England -- Fiction, Halley, Sid (Fictitious character) -- Fiction, Horse racing -- Fiction, Private investigators -- Fiction -- England, Suspense fiction, Horse racing -- Fiction -- England, Race horses -- Fiction -- Breeding",,Edgar Award for Best Novel,,"A hard fall took hotshot jockey Sid Halley out of the horse racing game, leaving him with a crippled hand, a broken heart, and the desperate need for a new job. Now he's landed a position with a detective agency, only to catch a bullet from some penny-ante thug. And things are about to get even more hectic--the agency is giving him a case to handle on his own. The case brings him to the door of Zanna Martin, a woman who might be just what Sid needs to get him back up and running. But he's up against a field of thoroughbred criminals, and the odds against him are making it a long shot that he'll even survive...",
YjKslwEACAAJ,Her Master and Commander,"9780060584085, 0060584084",384,"February 28, 2006",Paperback,HarperCollins,English,Karen Hawkins,,2006,"Historical romance, Romance novel, Regency Fiction","Fiction / Romance / Historical / General, England -- Fiction, Fiction / Romance / Historical / 20th Century, Fiction / Romance / Historical / Regency, Fiction / Romance / Historical / Victorian, Regency fiction, Love stories",,,,"Just ask Reeves!
Dying without legitimate issue, the late Earl of Rochester sent his butler extraordinaire, Reeves, to find his wild, illegitimate children and ""civilize"" them. Reeves must seek out the first of the earl's arrogant sons, Captain Tristan Llevanth, a one-time pirate, and teach him to be a gentleman.
A will of steel...
Tristan Llevanth gave up his free-wheeling life as a pirate to fight at Admiral Nelson's side. Wounded, Tristan will never again sail the seas he loves. Life has no more challenges. Or so he thinks, until Reeves brings a certain outspoken lady into the captain's uncultured househol...
An iron-clad spirit...
Reeves believes Tristan needs a spark to relight the fires of his soul. And who better than lovely P...",
QrU5PwAACAAJ,The Life of Sir Arthur Conan Doyle,"9780786712342, 0786712341",320,"November 11, 2003",Paperback,Hachette Books,English,John Dickson Carr,,1949,,"Biography & Autobiography / General, Biography & Autobiography / Literary Figures, Authors, English -- Biography, Authors, Scottish -- 20th century -- 19th century, Authors, Scottish -- Biography -- 20th century -- 19th century, Physicians -- Biography -- Great Britain, Physicians -- Great Britain, Spiritualists -- Biography -- Great Britain, Spiritualists -- Great Britain",Special Edgars Award,,,"This vivid biography, written by John Dickson Carr, a giant in the field of mystery fiction, benefits from his full access to the archives of the eminent Sir Arthur Conan Doyle—to his notebooks, diaries, press clippings, and voluminous correspondence. Like his creation Sherlock Holmes, Doyle had ""a horror of destroying documents,"" and until his death in 1930, they accumulated to vast amount throughout his house at Windlesham. They provide many of the words incorporated by Carr in this lively portrayal of Doyle's forays into politics, his infatuation with spiritualism, his literary ambitions, and dinner-table conversations with friends like H. G. Wells and King Edward VII. Carr, then, in a sense collaborates with his subject to unfold a colorful narrative that takes Doyle from his school...",
3hWBPwAACAAJ,Las Aventuras de Sherlock Holmes,"9788497643658, 8497643658",192,April 2005,Paperback,Edimat Libros,Spanish,Arthur Conan Doyle,,"October 14, 1892","Short story, Novel, Detective fiction, Mystery, Noir fiction, Crime Fiction","Detective and mystery stories, Detectives -- Fiction -- England, Detective and mystery stories, English, En Espanol",,,"Sherlock Holmes, John H. Watson, Irene Adler, Professor Moriarty, Mycroft Holmes, Inspector Lestrade, Sebastian Moran","Los relatos que se incluyen en esta edici n pertenecen a EL REGRESO DE SHERLOCK HOLMES (1904) y fueron escritos despu s de que Conan Doyle se viera obligado a resucitar a su personaje por el xito obtenido. Las aventuras del detective y de su ayudante est n en la l nea de los relatos cortos propios para ser publicados en la prensa y le dos r pidamente, por lo que el estilo queda en segundo lugar. En ellos puede observarse las caracter sticas del personaje (inteligencia, capacidad de deducci n, iron a) y tambi n los rasgos t picos de la narraci n polic aca: enigma a resolver por el detective-protagonista tras la observaci n de los detalles aparentemente irrelevantes.",
Yq18PwAACAAJ,Jitterbug Perfume,"9781842430354, 1842430351",342,2001,Paperback,"Oldcastle Books, Limited",English,Tom Robbins,,1984,"Novel, Fantasy Fiction","Bohemia (Czech Republic) -- Fiction -- History, Janitors -- Fiction, Perfumes industry -- Fiction, Pilgrims and pilgrimages -- Fiction",,,"Alobar, Madame Devalier, Bingo Pajama, Albert Einstein, Priscilla, Marcel, V'lu, Pan, Kudra","A powerful and righteous 8th-century king named Alobar narrowly escapes regicide at the hands of his own subjects, as it is their custom to kill the king at the first sign of aging. After fleeing, no longer a king but a simple peasant, he travels through Eurasia, and eventually meets the goat-god Pan, who is slowly losing his powers as the world turns toward Christianity. In India he meets a girl, Kudra, who goes on to become his wife",
5kKTEAAAQBAJ,"Life, the universe, and everything","9780345418906, 0345418905",232,2005,Paperback,Random House Worlds,English,Douglas Adams,,August 1982,"Science fiction, Science fiction comedy, Fantasy Fiction","Fiction / Action & Adventure, Fiction / Humorous / General, Fiction / Science Fiction / Action & Adventure, Extraterrestrial beings -- Fiction, Fiction / Media Tie-In, Human-alien encounters -- Fiction, Interplanetary voyages -- Fiction, Interstellar travel -- Fiction, Science fiction, Dent, Arthur (Fictitious character) -- Fiction, Humorous stories, Prefect, Ford (Fictitious character) -- Fiction",,Locus Award for Best Science Fiction Novel,"Arthur Dent, Ford Prefect, Zaphod Beeblebrox, Marvin The Paranoid Android, Trillian, Slartibartfast","Now celebrating the 42nd anniversary of The Hitchhiker’s Guide to the Galaxy, soon to be a Hulu original series!

“Wild satire . . . The feckless protagonist, Arthur Dent, is reminiscent of Vonnegut heroes.”—Chicago Tribune

The unhappy inhabitants of planet Krikkit are sick of looking at the night sky above their heads—so they plan to destroy it. The universe, that is. Now only five individuals stand between the killer robots of Krikkit and their goal of total annihilation.

They are Arthur Dent, a mild-mannered space and time traveler who tries to learn how to fly by throwing himself at the ground and missing; Ford Prefect, his best friend, who decides to go insane to see if he likes it; Slartibartfast, the indomitable vice president of the Campaign ...",
uU3sPAAACAAJ,The Illustrated Hitchhiker's Guide to the Galaxy,"9780517599242, 0517599244",96,1994,Hardcover,Harmony Books,English,Douglas Adams,,"October 12, 1979","Science fiction, Novel, Humor, Humorous Fiction, Science fiction comedy","Dent, Arthur (Fictitious character) -- Fiction, more",,,"Zaphod Beeblebrox, Arthur Dent, Marvin The Paranoid Android, Ford Prefect, Trillian, Slartibartfast","First published to great acclaim in 1979, The Hitchhiker's Guide to the Galaxy has been the source of incredible hilarity and mirth. Now comes the first-ever illustrated version of the mega-selling cult classic, packed with state-of-the-art, digitally generated graphic imagery and tricky visual puns. 40 full-color illustrations; voice chips.",
zQqPDQAAQBAJ,Lincoln,"9780375708763, 0375708766",657,"February 15, 2000",Paperback,Knopf Doubleday Publishing Group,English,Gore Vidal,,1984,"Novel, Historical Fiction, Biographical Fiction","Fiction / Historical / General, Fiction / Literary, Fiction / Political, Biographical fiction, Presidents -- Fiction -- United States, United States -- Fiction -- History -- Civil War, 1861-1865, Political fiction, United States -- Fiction -- History -- 1815-1861 -- Civil War, 1861-1865",,,,"Gore Vidal's Narratives of Empire series spans the history of the United States from the Revolution to the post-World War II years. With their broad canvas and large cast of fictional and historical characters, the novels in this series present a panorama of the American political and imperial experience as interpreted by one of its most worldly, knowing, and ironic observers.

To most Americans, Abraham Lincoln is a monolithic figure, the Great Emancipator and Savior of the Union, beloved by all. In Gore Vidal's Lincoln we meet Lincoln the man and Lincoln the political animal, the president who entered a besieged capital where most of the population supported the South and where even those favoring the Union had serious doubts that the man from Illinois could save it. Far from ...",A Novel
