id,title,isbn,page_count,publishing_date,form,publisher,language,author,illustrator,originally_published,genres,subject,awards,nominations,characters,description,sub_title
1uJSPgAACAAJ,Artesia: Adventures In The Known World RPG,"9781932386103, 1932386106",352,"July 15, 2009",Hardcover,Archaia,English,Mark Smylie,Mark Smylie,"July 15, 2009",,"Games & Activities / Role Playing & Fantasy, Video games",,,,"The award-winning graphic novel Artesia comes to life in the Adventures in the Known World RPG, using a modified and easy-to-use Fuzion-based roleplaying system to plunge players into the strife-riven realms of the Known World, from the Warring Citadels of the Daragjan Highlands to the never-ending feud between the Sun Court of Illia and the Phoenix Court of the Empire of Thessid-Gola. Includes an expansive adaptation of R. Talsorian Games' LifePath character-generation system including birth omens, star signs and divine and heroic lineages, and rules for talents and abilities accessible to characters through the Arcana, the Tarot-like system representing the Known World's archetypal paths of power and the foundation of an unique system of experience, allowing game rewards for virtually all types of character actions.",
9104ZLuR4Y0C,Active Literacy Across the Curriculum,"9781596670235, 1596670231",138,2006,Paperback,Eye On Education,English,Heidi Hayes Jacobs,,2006,,"Direct instruction, Language arts -- Correlation with content subjects, Language experience approach in education",,,,"Highly acclaimed author Heidi Hayes Jacobs shows teachers - at very grade level and in every subject area -- how to integrate the teaching of literacy skills into their daily curriculum. With an emphasis on school wide collaborative planning, she shows how curriculum mapping sustains literacy between grade levels and subjects.","Strategies for Reading, Writing, Speaking, and Listening"
8jxkuQEACAAJ,Simply Beautiful Beaded Jewelry,,128,"March 14, 2006",Paperback,F+W Media,English,Heidi Boyd,,"February 28, 2006",,"Crafts & Hobbies / Jewelry, Beadwork, Jewelry making",,,,"If gorgeous beaded jewelry always catches your eye, you'll love making (and wearing!) your own necklaces, bracelets and earrings. Simply Beautiful Beaded Jewelry includes 50 projects plus variations in designer Heidi Boyd's simply elegant signature style. Inside you're bound to find plenty of designs to strike your fancy as well as a helpful section that shows you the basic supplies and techniques you'll need to get started. As an added bonus, many of the projects have variations in different colors and styles to help you customize your jewelry to your personal style.
&break;&break;Just think how proud you'll feel the first time you can answer, ""I made it myself"" to a compliment on your fabulous new multistrand necklace or your sparkling, swingy crystal earrings. With Simply Beautiful Beaded Jewelry, it truly is easy to get started–in no time at all you'll be showcasing your own original beaded creations and making them as gifts.",
H-AMAQAACAAJ,There's Always Enough,"9781852402877, 1852402873",192,2003,Paperback,Sovereign World,English,"Rolland Baker, Heidi Baker",,2003,,"Church work with the poor -- Mozambique, Miracle workers -- Mozambique, Miracles -- History -- 20th century, Missions -- Mozambique, Mozambique -- Church history -- 20th century, Pentecostalism -- Mozambique, Christianity, Miracles, Missions",,,,"Tells the story of an adventure that began when the authors, founders of IRIS Ministries, and both natives of California, USA, answered God's call to minister to the poorest of the poor.",
8SBFuQEACAAJ,Simply Beautiful Beading,"9781581805635, 1581805632",128,"August 19, 2004",Paperback,F+W Media,English,Heidi Boyd,,2004,,"Crafts & Hobbies / Jewelry, Beadwork, Jewelry making",,,,"Blend your creative spirit with the quick and easy projects found inside Simply Beautiful Beading
From casual to sophisticated, and everything in between, you'll find beading designs to fit your personal style. Inside, you'll discover 53 simple yet stylish beading projects for exquisite jewelry, accessories and home decor, including:
modern glass bead chokerssemiprecious stone setcharm braceletswired-pearl barretteswineglass charmshanging votive candle holderand more than 35 variation projects for even more simply beautiful ideas!",
khEua4UXieMC,The Power of One,"9780345410054, 034541005X",518,"September 29, 1996",Paperback,Random House Publishing Group,English,Bryce Courtenay,,"February 21, 1989","Novel, Bildungsroman, Historical Fiction, historical novel, War story","Fiction / Action & Adventure, Fiction / Historical / General, Fiction / Psychological, Adventure and adventurers, Afrikaners -- Juvenile fiction, Apartheid -- Juvenile fiction -- South Africa, Boarding schools -- Juvenile fiction, Children -- Fiction -- South Africa, Children -- Fiction -- South Africa -- Juvenile fiction -- Conduct of life, Conduct of life -- Juvenile fiction, Courage -- Juvenile fiction, Loneliness -- Juvenile fiction, Prejudices -- Juvenile fiction, South Africa -- Fiction, South Africa -- Fiction -- History, Success in children -- Juvenile fiction, World War, 1939-1945 -- Fiction -- South Africa, Apartheid -- Fiction, Bildungsromans, Boxing stories, CHILDREN., Friendship -- Fiction -- South Africa, Self-confidence -- Juvenile fiction, South Africa -- Juvenile fiction -- History -- 1909-1961, South African fiction (English), War stories, World War, 1939-1945 -- Juvenile fiction -- South Africa",,,"Mrs. Boxall, Geel Piet, Peekay, Morris Levy, Doc","“The Power of One has everything: suspense, the exotic, violence; mysticism, psychology and magic; schoolboy adventures, drama.”
–The New York Times

“Unabashedly uplifting . . . asserts forcefully what all of us would like to believe: that the individual, armed with the spirit of independence–‘the power of one’–can prevail.”
–Cleveland Plain Dealer

In 1939, as Hitler casts his enormous, cruel shadow across the world, the seeds of apartheid take root in South Africa. There, a boy called Peekay is born. His childhood is marked by humiliation and abandonment, yet he vows to survive and conceives heroic dreams–which are nothing compared to what life actually has in store for him. He embarks on an epic journey through a land of tribal superstition and modern prejudi...",A Novel
eNq_KlqjJdwC,"How to Buy, Sell, and Profit on EBay","9780062032720, 0062032720",336,"September 7, 2010",ebook,HarperCollins,English,Adam Ginsberg,,"May 3, 2005",,"Business & Economics / E-Commerce / General, Business & Economics / Home-Based Businesses, Business & Economics / Sales & Selling / General, Business & Economics / Small Business, Business, Internet auctions, New business enterprises, Nonfiction, Small business -- Management",,,,"A lively insider's guide to starting a successful small business selling items old and new on eBay, written with personal anecdotes, well–kept secrets, and insider tips by Adam Ginsberg, eBay's most successful private salesperson.
This is the insider's guide to making money on eBay. Adam Ginsberg is the most successful seller on eBay, moving around a million dollars' worth of merchandise every month. Not only will he impart his personal secrets on how to sell on eBay –learned through years of experience – and his tips on expanding your small business using eBay as a global market, but he'll also give fun side–notes and anecdotes, keeping the book lively and making it a fun and interesting read.
This book will be a must–have for all current and aspiring eBay sellers, all small–business owners, and anyone who wants to learn how to start a million–dollar company.",Kick-Start Your Home-Based Business in Just Thirty Days
zyXMwAEACAAJ,Anna Karenina,"9781593080273, 1593080271",803,2003,Paperback,Barnes & Noble Classics,English,graf Leo Tolstoy,,1877,"Novel, Literary realism, Fiction","Adultery -- Fiction, Fiction / Classics, more",,,"Vronsky, Anna Karenina, Konstantin Dmitrievich Levin, Oblonsky, Kitty Shcherbatsky, Aleksei Karenin, Dolly, Sergius Ivanovich Koznyshev, Varenka, Knyagina Betsy, Countess Vronsky, Countess Lidia Ivanovna, Sergei Alexeyich Karenin, Nikolai Dmitrievich Levin","Anna Karenina, by Leo Tolstoy, is part of the Barnes & Noble Classics series, which offers quality editions at affordable prices to the student and the general reader, including new scholarship, thoughtful design, and pages of carefully crafted extras. Here are some of the remarkable features of Barnes & Noble Classics New introductions commissioned from today's top writers and scholars Biographies of the authors Chronologies of contemporary historical, biographical, and cultural events Footnotes and endnotes Selective discussions of imitations, parodies, poems, books, plays, paintings, operas, statuary, and films inspired by the work Comments by other famous authors Study questions to challenge the reader's viewpoints and expectations Bibliographies for further reading Indices...",
aV-kuQAACAAJ,Anna Karenina,"9781593081775, 1593081774",803,"August 26, 2004",Hardcover,"Barnes & Noble, Incorporated",English,Leo Tolstoy,,1877,"Novel, Literary realism, Fiction","Adultery -- Fiction, Married women -- Fiction, Russia -- Fiction -- Social life and customs -- 1533-1917",,,"Vronsky, Anna Karenina, Konstantin Dmitrievich Levin, Oblonsky, Kitty Shcherbatsky, Aleksei Karenin, Dolly, Sergius Ivanovich Koznyshev, Varenka, Knyagina Betsy, Countess Vronsky, Countess Lidia Ivanovna, Sergei Alexeyich Karenin, Nikolai Dmitrievich Levin","Anna Karenina, by Leo Tolstoy, is part of the Barnes & Noble Classicsseries, which offers quality editions at affordable prices to the student and the general reader, including new scholarship, thoughtful design, and pages of carefully crafted extras. Here are some of the remarkable features of Barnes & Noble Classics New introductions commissioned from today's top writers and scholars Biographies of the authors Chronologies of contemporary historical, biographical, and cultural events Footnotes and endnotes Selective discussions of imitations, parodies, poems, books, plays, paintings, operas, statuary, and films inspired by the work Comments by other famous authors Study questions to challenge the reader's viewpoints and expectations Bibliographies for further reading Indices &...",
BpobAQAAMAAJ,The Untouchables,"9781568491981, 1568491980",256,1957,Hardcover,Buccaneer,English,"Eliot Ness, Oscar Fraley",,1957,,"Crime -- Illinois -- Chicago, Criminals -- Illinois -- Chicago, Prohibition -- Illinois -- Chicago, Crime and criminals -- Illinois -- Chicago",,,,"The Untouchables is an autobiographical memoir by Eliot Ness co-written with Oscar Fraley, published in 1957.",
